date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,game_winner,penalty_winner,first_shooter,Shootout,team,scorer,minute,own_goal,penalty,Total attendance,Average attendance per game,year
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,United States,,,False,United States,Bart McGhee,23.0,False,False,434000,24139,1930
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,United States,,,False,United States,Tom Florie,45.0,False,False,434000,24139,1930
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,United States,,,False,United States,Bert Patenaude,69.0,False,False,434000,24139,1930
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,,,False,France,Lucien Laurent,19.0,False,False,434000,24139,1930
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,,,False,France,Marcel Langiller,40.0,False,False,434000,24139,1930
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,,,False,France,André Maschinot,43.0,False,False,434000,24139,1930
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,,,False,Mexico,Juan Carreño,70.0,False,False,434000,24139,1930
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,,,False,France,André Maschinot,87.0,False,False,434000,24139,1930
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,,,False,Yugoslavia,Aleksandar Tirnanić,21.0,False,False,434000,24139,1930
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,,,False,Yugoslavia,Ivan Bek,30.0,False,False,434000,24139,1930
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,,,False,Brazil,Preguinho,62.0,False,False,434000,24139,1930
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Romania,,,False,Romania,Adalbert Deşu,1.0,False,False,434000,24139,1930
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Romania,,,False,Peru,Luis de Souza,75.0,False,False,434000,24139,1930
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Romania,,,False,Romania,Constantin Stanciu,79.0,False,False,434000,24139,1930
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Romania,,,False,Romania,Miklós Kovács,89.0,False,False,434000,24139,1930
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,Argentina,,,False,Argentina,Luis Monti,81.0,False,False,434000,24139,1930
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,Chile,,,False,Chile,Carlos Vidal,3.0,False,False,434000,24139,1930
